X,Y,id,
-71.104321,42.368051,8614855,
-71.1044613,42.3678187,8614855,
-71.1045434,42.3676902,8614855,
-71.1046313,42.3675624,8614855,
-71.1047157,42.3674631,8614855,
-71.1048246,42.3673442,8614855,
-71.105111,42.367096,8614855,
-71.105699,42.36659,8614855,
-71.105678377428106,42.366607746635005,8614855,
-71.1048246,42.3673442,8614855,
-71.105111,42.367096,8614855,
-71.1048246,42.3673442,8614857,
-71.103146,42.366344,8614857,
-71.103306,42.366441,8614857,
-71.1038339,42.3667528,8614857,
-71.1039829,42.3668414,8614857,
-71.1043203,42.367045,8614857,
-71.1048246,42.3673442,8614857,
-71.103146,42.366344,8614857,
-71.1039829,42.3668414,8614857,
-71.1009714,42.3594843,8614859,
-71.0981415,42.3607628,8614859,
-71.1009714,42.3594843,8614859,
-71.0981415,42.3607628,8614859,
-71.1100895,42.3624299,8614866,
-71.110371,42.362634,8614866,
-71.110745,42.362923,8614866,
-71.110984,42.363125,8614866,
-71.108841,42.363846,8614867,
-71.1090072,42.364907,8614867,
-71.1090072,42.364907,8614867,
-71.108841,42.363846,8614867,
-71.0983715,42.3639782,8614871,
-71.0990984,42.3639366,8614871,
-71.0990501,42.3639703,8614871,
-71.099005,42.364001,8614871,
-71.0983715,42.3639782,8614871,
-71.0974599,42.363925,8614871,
-71.096708,42.3638733,8614871,
-71.0965927,42.3638654,8614871,
-71.0965927,42.3638654,8614871,
-71.0990984,42.3639366,8614871,
-71.1098927,42.3648314,8614874,
-71.110146,42.366669,8614874,
-71.110146,42.366669,8614874,
-71.1098927,42.3648314,8614874,
-71.104652,42.362285,8614875,
-71.103962,42.362928,8614875,
-71.104652,42.362285,8614875,
-71.0783137,42.3628568,8614883,
-71.0783137,42.3628568,8614883,
-71.0782206,42.3628983,8614883,
-71.0781664,42.3629273,8614883,
-71.0781284,42.3629543,8614883,
-71.0780881,42.3629901,8614883,
-71.0763859,42.3647466,8614883,
-71.076329,42.364806,8614883,
-71.0760227,42.3651242,8614883,
-71.0760086,42.3651374,8614883,
-71.075427,42.365743,8614883,
-71.07422,42.366998,8614883,
-71.074147,42.367081,8614883,
-71.074093,42.367147,8614883,
-71.074055,42.367206,8614883,
-71.074024,42.367274,8614883,
-71.074001,42.367351,8614883,
-71.074002,42.367435,8614883,
-71.074015,42.367518,8614883,
-71.074049,42.367582,8614883,
-71.074104,42.367636,8614883,
-71.074208,42.367707,8614883,
-71.0744722,42.3678451,8614883,
-71.113672,42.363209,8614891,
-71.113374,42.363249,8614891,
-71.113672,42.363209,8614891,
-71.094106,42.36169,8614893,
-71.09393,42.361845,8614893,
-71.093868,42.361923,8614893,
-71.093819,42.362018,8614893,
-71.093769,42.362137,8614893,
-71.093737,42.362251,8614893,
-71.093679,42.362726,8614893,
-71.0936322,42.3629768,8614893,
-71.0936029,42.3630748,8614893,
-71.0934178,42.3634315,8614893,
-71.0933185,42.3636099,8614893,
-71.0931657,42.3638794,8614893,
-71.0929391,42.3642557,8614893,
-71.0928767,42.3643645,8614893,
-71.0926032,42.3648441,8614893,
-71.0920748,42.3657874,8614893,
-71.0918191,42.3662087,8614893,
-71.0917717,42.3662868,8614893,
-71.0920748,42.3657874,8614893,
-71.0933185,42.3636099,8614893,
-71.0929391,42.3642557,8614893,
-71.0917717,42.3662868,8614893,
-71.0928767,42.3643645,8614893,
-71.0926032,42.3648441,8614893,
-71.093626144980149,42.362997052284832,8614893,
-71.094106,42.36169,8614893,
-71.0934178,42.3634315,8614893,
-71.11404,42.367199,8614899,
-71.114017,42.3677372,8614899,
-71.114017,42.3677372,8614899,
-71.1116494,42.3547737,8614906,
-71.1125924,42.3553006,8614906,
-71.1127657,42.3553923,8614906,
-71.1131989,42.355608,8614906,
-71.1131989,42.355608,8614906,
-71.1084455,42.3535105,8614910,
-71.1084455,42.3535105,8614910,
-71.1082344,42.3534907,8614910,
-71.1080453,42.3534751,8614910,
-71.1078705,42.3534641,8614910,
-71.1076753,42.3534542,8614910,
-71.1074929,42.3534457,8614910,
-71.1073105,42.3534394,8614910,
-71.1071384,42.3534357,8614910,
