X,Y,id,
-71.102099,42.3738987,8614863,
-71.1132079,42.3700486,8614901,
-71.1130485,42.3700506,8614901,
-71.112934,42.370115,8614901,
-71.1119996,42.3714542,8614901,
-71.111953,42.371518,8614901,
-71.111429,42.372312,8614901,
-71.111094,42.372833,8614901,
-71.1108239,42.3731946,8614901,
-71.1084455,42.3535105,8614910,
-71.1082344,42.3534907,8614910,
-71.1080453,42.3534751,8614910,
-71.1078705,42.3534641,8614910,
-71.1076753,42.3534542,8614910,
-71.1074929,42.3534457,8614910,
-71.1073105,42.3534394,8614910,
-71.1071384,42.3534357,8614910,
-71.1069398,42.3534358,8614910,
-71.1067399,42.3534382,8614910,
-71.106549,42.3534426,8614910,
-71.1063381,42.353449,8614910,
-71.1061373,42.3534588,8614910,
-71.105931,42.3534693,8614910,
-71.1057238,42.3534816,8614910,
-71.1055114,42.3534936,8614910,
-71.1053208,42.3535053,8614910,
-71.1051308,42.3535195,8614910,
-71.1049469,42.3535357,8614910,
-71.1047737,42.3535504,8614910,
-71.1046257,42.3535672,8614910,
-71.1044464,42.3535922,8614910,
-71.1042818,42.3536188,8614910,
-71.1041062,42.3536489,8614910,
-71.1039463,42.3536824,8614910,
-71.1037951,42.3537156,8614910,
-71.103619,42.3537574,8614910,
-71.1034448,42.3538026,8614910,
-71.1032896,42.3538479,8614910,
-71.1031234,42.3538977,8614910,
-71.1029516,42.3539523,8614910,
-71.1004044,42.3547978,8614910,
-71.119385,42.375761,8614915,
-71.1194928,42.3755912,8614915,
-71.1195497,42.3755453,8614915,
-71.1196328,42.3755136,8614915,
-71.1197186,42.3754997,8614915,
-71.1198501,42.3755156,8614915,
-71.1199949,42.3755374,8614915,
-71.1103259,42.353985,8614937,
-71.1103122,42.3540668,8614937,
-71.1103206,42.3541276,8614937,
-71.1103398,42.354207,8614937,
-71.1103646,42.3542656,8614937,
-71.1103895,42.3543245,8614937,
-71.1104244,42.3543949,8614937,
-71.1104767,42.3544635,8614937,
-71.110514,42.3545041,8614937,
-71.1105777,42.3545512,8614937,
-71.1106659,42.3546044,8614937,
-71.1107468,42.3546369,8614937,
-71.1108084,42.354659,8614937,
-71.1108559,42.3546616,8614937,
-71.1109193,42.3546616,8614937,
-71.1109861,42.3546499,8614937,
